file, metric 
hippocampus_162, 88.03 
hippocampus_393, 84.87 
hippocampus_282, 80.67 
hippocampus_138, 88.7 
hippocampus_163, 82.48 
hippocampus_097, 88.9 
hippocampus_001, 85.05 
hippocampus_020, 84.11 
hippocampus_244, 74.89 
hippocampus_156, 83.36 
hippocampus_046, 85.02 
hippocampus_356, 86.57 
hippocampus_132, 88.68 
hippocampus_104, 86.32 
hippocampus_125, 69.97 
hippocampus_370, 85.81 
hippocampus_098, 85.96 
hippocampus_297, 76.53 
hippocampus_019, 85.13 
hippocampus_108, 76.47 
hippocampus_166, 87.8 
hippocampus_372, 80.93 
hippocampus_077, 77.8 
hippocampus_238, 85.18 
hippocampus_133, 87.78 
hippocampus_123, 85.46 
hippocampus_385, 84.92 
hippocampus_105, 85.31 
hippocampus_361, 80.21 
hippocampus_268, 79.17 
hippocampus_233, 85.3 
hippocampus_303, 86.43 
hippocampus_136, 89.15 
hippocampus_193, 83.09 
hippocampus_188, 84.36 
hippocampus_276, 82.97 
hippocampus_026, 84.23 
hippocampus_325, 75.62 
hippocampus_378, 84.65 
hippocampus_141, 88.27 
hippocampus_048, 69.18 
hippocampus_053, 89.35 
hippocampus_060, 58.92 
hippocampus_381, 87.59 
hippocampus_227, 84.11 
hippocampus_195, 47.59 
hippocampus_068, 86.38 
hippocampus_274, 84.08 
hippocampus_084, 87.33 
hippocampus_302, 84.52 
hippocampus_295, 85.49 
hippocampus_203, 87.53 
hippocampus_106, 77.28 
hippocampus_176, 80.7 
hippocampus_107, 83.33 
hippocampus_064, 87.3 
hippocampus_175, 81.64 
hippocampus_038, 76.28 
hippocampus_169, 88.86 
hippocampus_326, 73.49 
hippocampus_023, 83.34 
hippocampus_050, 73.88 
hippocampus_226, 74.75 
hippocampus_288, 81.06 
hippocampus_289, 79.62 
hippocampus_090, 85.39 
hippocampus_355, 83.33 
hippocampus_353, 78.24 
hippocampus_074, 87.34 
hippocampus_222, 25.56 
hippocampus_250, 84.52 
hippocampus_338, 84.2 
hippocampus_155, 86.2 
hippocampus_070, 34.99 
hippocampus_094, 85.77 
hippocampus_374, 86.21 
hippocampus_251, 46.13 
hippocampus_205, 80.49 
hippocampus_024, 78.07 
hippocampus_101, 87.51 
hippocampus_036, 87.16 
hippocampus_366, 85.54 
hippocampus_199, 54.28 
hippocampus_044, 89.54 
hippocampus_333, 54.62 
hippocampus_067, 88.53 
hippocampus_265, 80.55 
hippocampus_311, 82.45 
hippocampus_181, 88.4 
hippocampus_184, 87.59 
hippocampus_178, 88.89 
hippocampus_216, 85.41 
hippocampus_261, 74.7 
hippocampus_234, 86.0 
hippocampus_260, 78.39 
hippocampus_212, 86.89 
hippocampus_033, 86.16 
hippocampus_243, 62.53 
hippocampus_336, 72.42 
hippocampus_298, 74.39 
hippocampus_299, 78.6 
hippocampus_087, 74.46 
hippocampus_011, 82.59 
hippocampus_386, 88.25 
hippocampus_383, 82.7 
hippocampus_242, 79.84 
hippocampus_014, 84.06 
hippocampus_230, 89.37
hippocampus_229, 89.36
hippocampus_309, 80.15
